Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
Epoch: 066, Loss: 0.4840, Train Acc: 0.9875, Test Acc: 0.7234, F1 Micro: 0.7234, F1 Macro: 0.7170, AUC: 0.8885
